,year,1. Agroforestry default,2. Agroforestry policy,3. Agroforestry default+ carbon tax,4. Agroforestry policy+ carbon tax,APC x1p5 + LMD,APC x2 + LMD,LMD,Species Richness 30%,Total Carbon 30%
1,2025,46.27074016,46.22401469,51.63867954,51.58580083,49.14534035,47.65175809,52.287488,55.46160454,51.92531945
2,2026,45.26655994,44.87627614,50.89856983,50.55997793,48.34118742,46.73625314,51.76328953,54.98961291,51.40300375
3,2027,44.26237973,43.52853759,50.15846011,49.53415503,47.53703449,45.82074819,51.23909105,54.51762128,50.88068805
4,2028,43.25819951,42.18079904,49.41835039,48.50833213,46.73288156,44.90524324,50.71489257,54.04562965,50.35837236
5,2029,42.25401929,40.83306049,48.67824067,47.48250923,45.92872863,43.98973829,50.19069409,53.57363803,49.83605666
6,2030,41.24983907,39.48532194,47.93813095,46.45668633,45.1245757,43.07423334,49.66649562,53.1016464,49.31374096
7,2031,40.27710945,38.53341072,47.37231325,45.80789972,44.41957001,42.33894239,49.25339625,52.75417053,48.81808499
8,2032,39.30437982,37.5814995,46.80649555,45.1591131,43.71456432,41.60365145,48.84029688,52.40669466,48.32242903
9,2033,38.33165019,36.62958828,46.24067784,44.51032648,43.00955863,40.8683605,48.42719751,52.0592188,47.82677306
10,2034,37.35892056,35.67767706,45.67486014,43.86153986,42.30455294,40.13306955,48.01409814,51.71174293,47.3311171
11,2035,36.38619094,34.72576584,45.10904243,43.21275324,41.59954725,39.3977786,47.60099877,51.36426706,46.83546113
12,2036,36.09153096,34.385518,45.02269213,43.18396665,41.44252892,39.17719115,47.6449572,51.3146539,46.67830098
13,2037,35.79687098,34.04527017,44.93634182,43.15518006,41.2855106,38.95660369,47.68891563,51.26504074,46.52114082
14,2038,35.502211,33.70502234,44.84999152,43.12639347,41.12849227,38.73601623,47.73287406,51.21542758,46.36398067
15,2039,35.20755102,33.36477451,44.76364121,43.09760688,40.97147394,38.51542878,47.77683249,51.16581441,46.20682051
16,2040,34.91289104,33.02452668,44.6772909,43.0688203,40.81445562,38.29484132,47.82079092,51.11620125,46.04966036
17,2041,34.50128814,32.58936891,44.65407358,43.04867566,40.63498517,38.0236673,48.00329859,51.20798314,46.06155796
18,2042,34.08968525,32.15421114,44.63085625,43.02853102,40.45551472,37.75249328,48.18580626,51.29976503,46.07345557
19,2043,33.67808235,31.71905338,44.60763893,43.00838639,40.27604427,37.48131926,48.36831392,51.39154691,46.08535318
20,2044,33.26647945,31.28389561,44.5844216,42.98824175,40.09657382,37.21014525,48.55082159,51.4833288,46.09725079
21,2045,32.85487655,30.84873784,44.56120428,42.96809712,39.91710337,36.93897123,48.73332925,51.57511069,46.1091484
22,2046,32.35430137,30.33610713,44.38920513,42.78980203,39.39967643,36.35912638,48.76172423,51.53115812,45.85461829
23,2047,31.85372619,29.82347641,44.21720599,42.61150694,38.88224949,35.77928153,48.7901192,51.48720555,45.60008819
24,2048,31.35315101,29.3108457,44.04520684,42.43321185,38.36482255,35.19943668,48.81851418,51.44325298,45.34555809
25,2049,30.85257583,28.79821498,43.87320769,42.25491676,37.84739561,34.61959182,48.84690915,51.39930042,45.09102799
26,2050,30.35200065,28.28558427,43.70120855,42.07662168,37.32996867,34.03974697,48.87530413,51.35534785,44.83649789
27,2051,29.88640895,27.85896811,43.70143288,42.17643963,36.96487382,33.55500981,48.7685452,51.1591945,44.47305927
28,2052,29.42081725,27.43235196,43.7016572,42.27625758,36.59977897,33.07027265,48.66178626,50.96304115,44.10962065
29,2053,28.95522556,27.00573581,43.70188153,42.37607553,36.23468412,32.58553549,48.55502733,50.7668878,43.74618203
30,2054,28.48963386,26.57911966,43.70210586,42.47589348,35.86958927,32.10079832,48.4482684,50.57073444,43.38274342
31,2055,28.02404217,26.15250351,43.70233019,42.57571143,35.50449442,31.61606116,48.34150947,50.37458109,43.0193048
32,2056,27.26884163,25.40238291,43.65238861,42.5562378,34.9175202,31.05547812,48.27252425,49.90557758,42.4144731
33,2057,26.5136411,24.65226232,43.60244704,42.53676418,34.33054598,30.49489508,48.20353904,49.43657407,41.8096414
34,2058,25.75844057,23.90214172,43.55250547,42.51729055,33.74357176,29.93431203,48.13455382,48.96757056,41.20480971
35,2059,25.00324003,23.15202112,43.50256389,42.49781692,33.15659754,29.37372899,48.06556861,48.49856705,40.59997801
36,2060,24.2480395,22.40190052,43.45262232,42.47834329,32.56962331,28.81314595,47.99658339,48.02956354,39.99514631
37,2061,23.65435449,21.87101017,43.23055567,42.31833475,31.99858524,28.18568131,47.71909128,47.30894004,39.04909958
38,2062,23.06066949,21.34011982,43.00848902,42.1583262,31.42754717,27.55821668,47.44159917,46.58831654,38.10305285
39,2063,22.46698449,20.80922946,42.78642238,41.99831766,30.8565091,26.93075204,47.16410706,45.86769304,37.15700611
40,2064,21.87329948,20.27833911,42.56435573,41.83830911,30.28547103,26.3032874,46.88661495,45.14706954,36.21095938
41,2065,21.27961448,19.74744876,42.34228909,41.67830056,29.71443296,25.67582276,46.60912284,44.42644604,35.26491265
42,2066,20.63530957,19.13336803,41.97353726,41.36374314,29.20565442,25.11273638,46.30727558,43.35746724,34.35625976
43,2067,19.99100467,18.51928731,41.60478544,41.04918571,28.69687589,24.54965,46.00542832,42.28848843,33.44760686
44,2068,19.34669976,17.90520658,41.23603362,40.73462828,28.18809735,23.98656361,45.70358106,41.21950963,32.53895397
45,2069,18.70239486,17.29112585,40.86728179,40.42007085,27.67931881,23.42347723,45.4017338,40.15053083,31.63030107
46,2070,18.05808995,16.67704513,40.49852997,40.10551342,27.17054027,22.86039085,45.09988654,39.08155203,30.72164818
47,2071,17.52644914,16.23798082,40.1930511,39.87003159,26.66591841,22.21934077,44.79089535,38.1670605,29.94539281
48,2072,16.99480833,15.79891652,39.88757223,39.63454976,26.16129654,21.57829069,44.48190416,37.25256897,29.16913744
49,2073,16.46316752,15.35985221,39.58209335,39.39906793,25.65667468,20.93724061,44.17291297,36.33807744,28.39288208
50,2074,15.93152671,14.92078791,39.27661448,39.1635861,25.15205282,20.29619053,43.86392178,35.42358591,27.61662671
51,2075,15.3998859,14.4817236,38.97113561,38.92810427,24.64743096,19.65514046,43.55493059,34.50909438,26.84037134
52,2076,15.0125952,14.08585297,39.02289612,39.05758931,24.08855274,19.30306936,43.72051158,33.65588829,25.83459037
53,2077,14.62530449,13.68998235,39.07465663,39.18707436,23.52967453,18.95099827,43.88609257,32.80268221,24.8288094
54,2078,14.23801379,13.29411172,39.12641714,39.3165594,22.97079632,18.59892718,44.05167356,31.94947612,23.82302843
55,2079,13.85072309,12.89824109,39.17817765,39.44604444,22.41191811,18.24685608,44.21725454,31.09627004,22.81724746
56,2080,13.46343239,12.50237046,39.22993816,39.57552948,21.8530399,17.89478499,44.38283553,30.24306395,21.81146649
57,2081,12.9671859,12.01882597,39.19317986,39.61553077,21.62974649,17.58767529,44.50345373,29.34894645,21.31615998
58,2082,12.47093941,11.53528149,39.15642155,39.65553205,21.40645309,17.28056559,44.62407193,28.45482894,20.82085347
59,2083,11.97469293,11.051737,39.11966325,39.69553334,21.18315969,16.97345589,44.74469013,27.56071144,20.32554697
60,2084,11.47844644,10.56819251,39.08290495,39.73553462,20.95986629,16.66634619,44.86530833,26.66659394,19.83024046
61,2085,10.98219996,10.08464802,39.04614665,39.77553591,20.73657288,16.35923649,44.98592652,25.77247643,19.33493395
62,2086,10.3605378,9.463468873,39.15173912,39.92060726,20.51666394,16.03057187,45.17796005,24.92676515,18.79879278
63,2087,9.738875648,8.842289723,39.25733158,40.06567862,20.296755,15.70190725,45.36999357,24.08105386,18.26265162
64,2088,9.117213493,8.221110573,39.36292404,40.21074997,20.07684605,15.37324263,45.5620271,23.23534257,17.72651046
65,2089,8.495551339,7.599931423,39.46851651,40.35582133,19.85693711,15.04457801,45.75406062,22.38963129,17.19036929
66,2090,7.873889185,6.978752273,39.57410897,40.50089268,19.63702817,14.71591339,45.94609414,21.54392,16.65422813
67,2091,7.379574295,6.531692921,39.81072095,40.79548652,19.44652955,14.32787887,46.49504043,20.92486162,15.97888151
68,2092,6.885259404,6.084633568,40.04733293,41.09008035,19.25603093,13.93984435,47.04398671,20.30580324,15.3035349
69,2093,6.390944514,5.637574216,40.2839449,41.38467418,19.06553231,13.55180983,47.592933,19.68674485,14.62818828
70,2094,5.896629624,5.190514863,40.52055688,41.67926801,18.8750337,13.16377532,48.14187928,19.06768647,13.95284167
71,2095,5.402314733,4.74345551,40.75716886,41.97386184,18.68453508,12.7757408,48.69082557,18.44862808,13.27749506
72,2096,4.869039967,4.208784994,41.11106649,42.36495205,18.52147357,12.34676842,49.44094978,17.64981264,12.42918546
73,2097,4.335765201,3.674114477,41.46496413,42.75604226,18.35841205,11.91779604,50.19107399,16.8509972,11.58087585
74,2098,3.802490434,3.139443961,41.81886176,43.14713247,18.19535054,11.48882367,50.9411982,16.05218175,10.73256625
75,2099,3.269215668,2.604773444,42.17275939,43.53822268,18.03228902,11.05985129,51.69132242,15.25336631,9.884256655
76,2100,2.735940902,2.070102928,42.52665703,43.92931289,17.86922751,10.63087892,52.44144663,14.45455086,9.035947054